title,year,img file name,material,size,URL
Concave Convex Mirror (Diamond),2020,1.jpg,Stainless steel,150×50×50 cm,http://anishkapoor.com/6698/concave-convex-mirror-diamond
HOWL,2020,2.jpg,PVC,14.3×21.6×21.6 m,http://anishkapoor.com/6586/howl-2
Yellow to Spanish and Pagan Gold mix,2020,3.jpg,Aluminium and paint,221×221×47 cm,http://anishkapoor.com/6476/glisten-yellow-to-spanish-and-pagan-gold-mix
Untitled,2020,4.jpg,Gouache on paper,50×66 cm,http://anishkapoor.com/6858/untitled-176
Apep,2019,5.jpg,Fibreglass and pigment,Dimensions variable,http://anishkapoor.com/6294/apep
Untitled,2018,6.jpg,Onyx,172×105×57 cm,http://anishkapoor.com/6174/untitled-150
Void Longings 4,2019,7.jpg,Gouache on paper,102×67 cm,http://anishkapoor.com/6693/void-longings-4
Newborn,2019,8.jpg,Stainless steel,300×300×300 cm,http://anishkapoor.com/6154/newborn
Organ,2012–2019,9.jpg,"Engine, mixed media and pigment",350×140×200 cm,http://anishkapoor.com/6190/organ-2
Tsunami,2018,10.jpg,Stainless steel,365×410×340 cm,http://anishkapoor.com/6104/tsunami
Apple Red and Lime mix to Purple Candy satin,2019,11.jpg,Aluminium and paint,210×210×47 cm,http://anishkapoor.com/6644/apple-red-and-lime-mix-to-purple-candy-satin
Oriental Blue and Black Mist satin,2019,12.jpg,Aluminium and paint,220×220×47 cm,http://anishkapoor.com/6594/oriental-blue-and-black-mist-satin
Untitled,2019,13.jpg,Oil and gauze on linen,274×213 cm,http://anishkapoor.com/6022/untitled-128
Red 2 mix to Cobalt Blue,2019,14.jpg,Stainless steel and lacquer,140×140×19 cm,http://anishkapoor.com/6566/red-2-mix-to-cobalt-blue
Out of Me,2018,15.jpg,Oil on canvas,274×213 cm,http://anishkapoor.com/5994/out-of-me
Untitled,2019,16.jpg,Gouache on paper,101×67 cm,http://anishkapoor.com/6564/untitled-171
Glisten,2019,17.jpg,Aluminium and paint,220×220×23.5 cm,http://anishkapoor.com/5989/glisten
Red to Blue,2016,18.jpg,Stainless steel and lacquer,195×585×25 cm,http://anishkapoor.com/5828/red-to-blue
Untitled,2016,19.jpg,"Silicone, fibreglass and gauze",305×215×10 cm,http://anishkapoor.com/5825/untitled-126
Untitled,2018,20.jpg,Onyx,304×146×144 cm,http://anishkapoor.com/5817/untitled-125
Shade,2019,21.jpg,Steel and resin,340×210×310 cm,http://anishkapoor.com/5809/shade-2
Blood Solid,2018,22.jpg,Oil on canvas,274×212 cm,http://anishkapoor.com/5807/blood-solid
Untitled,2018,23.jpg,Granite,202×517×62 cm,http://anishkapoor.com/5745/untitled-124
Untitled,2018,24.jpg,Stainless steel,220×234×76 cm,http://anishkapoor.com/5709/untitled-115
Black Fold,2019,25.jpg,"Canvas, resin, pigment and PVC",39×29×20 cm,http://anishkapoor.com/5705/black-fold
Double S-Curve,2019,26.jpg,Stainless steel,Dimensions variable,http://anishkapoor.com/6307/double-s-curve
Bull / Moon,2016,27.jpg,"Silicone, fibreglass, gauze",100×253×105 cm,http://anishkapoor.com/5640/bull-moon
Magenta to Spanish Gold and Pagan Gold,2018,28.jpg,Stainless steel and lacquer,135×135×17 cm,http://anishkapoor.com/5637/mirror-magenta-to-spanish-gold-and-pagan-gold
Rectangle Within a Rectangle,2018,29.jpg,Granite,322×196×80 cm,http://anishkapoor.com/5877/rectangle-within-a-rectangle
Monochrome Grave Red,2018,30.jpg,Pigment and resin,87×210×338.5 cm,http://anishkapoor.com/5628/monochrome-grave-red
Void Pavilion VI,2018,31.jpg,"Wood, concrete and pigment",600×600×1200 cm,http://anishkapoor.com/6296/void-pavilion-v
Mit dem Handstumpf gefundenes Leben,2018,32.jpg,Silicone and PVC,165×125×91 cm,http://anishkapoor.com/5487/mit-dem-handstumpf-gefundenes-leben
Namibia XIV,2018,33.jpg,Stainless steel,30×60×60 cm,http://anishkapoor.com/5496/namibia-xiv
"Sky Mirror, Blue",2016,34.jpg,Stainless steel and lacquer,Diametre 340cm,http://anishkapoor.com/5355/sky-mirror-blue
Knot,2018,35.jpg,"Resin, steel and paint",140×125×90 cm,http://anishkapoor.com/5321/knot
Ritual Dark,2018,36.jpg,Silicone and paint,205×205×103 cm,http://anishkapoor.com/5316/ritual-dark
Red ²,2018,37.jpg,Stainless steel and lacquer,111×111×11 cm (each),http://anishkapoor.com/5310/red-%c2%b2
Blood Hole,2018,38.jpg,Oil on canvas,274×213 cm,http://anishkapoor.com/6569/blood-hole
Symphony for a Beloved Daughter,2018,39.jpg,"Steel, canvas, paint, graphite and basalt",15×10×10 m,http://anishkapoor.com/5270/symphony-for-a-beloved-daughter
Language of Birds,2018,None,,None,http://anishkapoor.com/5269/language-of-birds
Trans–parence,2018,41.jpg,"Silicone, PVC, canvas",305×213×30 cm,http://anishkapoor.com/5265/trans-parence
Open Secret,2018,42.jpg,Silicone and PVC,103×120×135 cm,http://anishkapoor.com/5170/open-secret
A Blackish Fluid Excavation,2018,43.jpg,Steel and resin,150×140×750 cm,http://anishkapoor.com/5160/a-blackish-fluid-excavation
What Bodies Do,2018,44.jpg,Oil on canvas,274×73 cm,http://anishkapoor.com/6488/what-bodies-do
Clear/Red to Pagan Gold satin,2018,45.jpg,Stainless steel and lacquer,121×121×15 cm (each),http://anishkapoor.com/5131/glisten-clear-red-to-pagan-gold-satin
Another (M)other,2018,46.jpg,Oil on canvas,152×213 cm,http://anishkapoor.com/6785/another-mother
Mound,2018,47.jpg,"Silicone, paint and gauze",305×213×71 cm,http://anishkapoor.com/6766/mound
Untitled,2018,48.jpg,Silicone and PVC on canvas,305×213×25 cm,http://anishkapoor.com/6759/untitled-175
Oriental Blue to Purple to Laser Red,2017,49.jpg,Stainless steel and lacquer,160×160×17 cm,http://anishkapoor.com/5085/mirror-oriental-blue-to-purple-to-laser-red
Untitled,2017,50.jpg,Fibreglass and paint,130×38×38 cm,http://anishkapoor.com/5043/untitled-97
Untitled,2015,51.jpg,Oil on paper,101.5×67 cm,http://anishkapoor.com/5021/untitled-96
Reach,2017,52.jpg,Stainless steel,3.9×4×11.8 m,http://anishkapoor.com/4980/reach
Untitled,2017,53.jpg,Gouache on paper,57×76 cm,http://anishkapoor.com/4975/untitled-35
Purple to Pagan Gold,2017,54.jpg,Stainless steel and lacquer,180×180×22 cm,http://anishkapoor.com/4973/mirror-purple-to-pagan-gold
Red to Purple,2017,55.jpg,Stainless steel and lacquer,160×160×17.5 cm,http://anishkapoor.com/4950/mirror-red-to-purple
Turning Blue to Red,2017,56.jpg,"Canvas, resin and pigment",42×30×17 cm,http://anishkapoor.com/4918/turning-blue-to-red
Split (Oriental Blue / Ferrari Red),2017,57.jpg,Aluminium and paint,220×220×45 cm,http://anishkapoor.com/4898/split-oriental-blue-ferrari-red
Untitled,2017,58.jpg,Gouache on paper,57×76 cm,http://anishkapoor.com/4880/untitled-95
Sky Mirror (for Hendrik),2017,59.jpg,Stainless steel,6.5×2.5×2 m,http://anishkapoor.com/4865/sky-mirror-for-hendrik
